AGE_label,age_min,mig_in,mig_net,mig_out
1 to 4 years,1,4018,2290,1409
5 to 17 years,5,8042,4218,2754
18 to 19 years,18,2383,391,1767
20 to 24 years,20,7233,2070,4241
25 to 29 years,25,7648,2635,4634
30 to 34 years,30,5469,1867,3181
35 to 39 years,35,5077,2883,1879
40 to 44 years,40,4020,2238,1681
45 to 49 years,45,4370,2544,1189
50 to 54 years,50,3236,1440,878
55 to 59 years,55,4115,1736,1675
60 to 64 years,60,4819,2851,926
65 to 69 years,65,5738,3975,561
70 to 74 years,70,3082,2245,426
75 year and over,75,5781,2753,2016
