age1951,age1956,pop1951,pop1956,national_csr,quebec_ltsr,national_ltsr
Under 5,5-9,265559,273989,1.05226,0.99362,0.99479
5-9,10-14,227157,229358,1.02721,0.99731,0.99756
10-14,15-19,177528,184960,1.036,0.997,0.99723
15-19,20-24,169736,179360,1.06873,0.99601,0.99631
20-24,25-29,176403,181892,1.07475,0.99493,0.99554
25-29,30-34,171660,177118,1.06111,0.99334,0.99451
30-34,35-39,152840,156251,1.05365,0.99097,0.99257
35-39,40-44,139163,139635,1.01457,0.98692,0.98905
40-44,45-49,121301,118116,1.00052,0.98078,0.98321
45-49,50-54,100615,97207,0.98388,0.9719,0.97494
50-54,55-59,86090,80107,0.95368,0.9562,0.96212
55-59,60-64,69095,63499,0.93219,0.93059,0.94086
60-64,65-69,57777,52287,0.93687,0.89372,0.90849
65-69,70-74,46387,39397,0.89191,0.83751,0.85674
70-74,75-79,33945,24005,0.7367,0.74536,0.76872
75-79,80-84,21019,13019,0.65202,0.61449,0.64086
80 and over,85 and over,17279,7408,0.45327,0.37978,0.4076
